heart_rate,oxygen_level,steps,sleep_hours,activity_level,stress_level
79,98.24,2900,5.2,Active,9
76,98.62,1392,5.5,Sedentary,5
68,97.94,1095,6.9,Active,9
71,96.8,4586,6.0,Sedentary,9
65,97.55,2205,10.4,Highly Active,4
76,94.3,674,7.1,Highly Active,10
48,99.05,1708,8.9,Sedentary,8
79,99.0,5148,8.7,Highly Active,10
73,100.0,2078,7.1,Sedentary,9
87,99.22,1900,6.4,Sedentary,9
70,97.62,6785,5.2,Highly Active,3
84,98.97,8185,5.6,Active,1
83,97.36,1933,7.8,Active,6
72,96.66,4472,6.9,Active,6
80,93.22,10124,5.5,Highly Active,10
54,98.78,8196,6.2,Highly Active,4
95,99.0,503,7.0,Sedentary,9
66,100.0,3125,6.5,Active,7
72,100.0,8993,6.1,Active,3
59,98.69,1384,6.4,Active,2
63,95.51,1526,2.9,Active,10
99,95.6,6963,6.5,Active,7
77,98.44,2336,4.9,Active,2
70,99.79,2738,7.0,Sedentary,1
70,99.92,5179,6.7,Highly Active,4
75,97.13,9720,7.6,Sedentary,2
85,93.8,4828,7.6,Highly Active,10
61,98.67,9821,6.3,Active,6
77,97.4,11876,7.2,Sedentary,9
74,98.96,2663,6.2,Sedentary,7
68,97.28,4606,5.8,Active,4
67,100.0,12145,6.9,Active,4
81,97.62,12477,4.9,Active,10
89,92.91,12090,6.1,Active,7
77,99.07,8029,6.6,Sedentary,5
43,99.27,3687,6.3,Sedentary,9
110,99.23,24478,7.9,Sedentary,9
74,95.38,220,4.7,Highly Active,6
68,96.23,3376,7.7,Highly Active,7
74,100.0,2567,5.7,Active,10
69,97.63,19216,5.7,Sedentary,2
62,96.76,733,7.8,Highly Active,9
84,100.0,6922,6.1,Active,10
72,95.94,8827,7.4,Sedentary,8
73,97.17,1425,7.4,Highly Active,5
40,100.0,1137,6.0,Highly Active,8
71,100.0,343,6.8,Highly Active,4
58,100.0,1211,5.8,Sedentary,7
78,100.0,20171,7.2,Active,5
65,99.88,16218,5.1,Highly Active,2
67,98.66,3182,7.2,Active,9
67,97.39,12283,4.3,Sedentary,4
59,95.52,11717,5.4,Active,6
49,93.57,453,5.5,Sedentary,3
80,99.91,1693,5.8,Active,4
67,97.8,19572,5.1,Highly Active,3
50,96.29,9427,7.9,Active,9
80,100.0,5053,5.3,Sedentary,8
57,97.69,3495,4.8,Highly Active,4
64,99.14,7373,6.5,Active,1
68,100.0,2993,5.5,Highly Active,4
86,98.54,1203,3.1,Sedentary,3
93,98.73,5136,3.8,Sedentary,2
66,100.0,865,6.6,Active,7
75,98.58,17249,6.8,Sedentary,1
89,98.12,9485,8.2,Active,3
78,99.03,983,8.9,Sedentary,10
76,95.89,579,7.8,Highly Active,10
62,100.0,7209,7.6,Highly Active,2
60,100.0,2925,4.3,Highly Active,4
91,98.63,12828,8.6,Highly Active,4
90,95.25,2963,5.7,Highly Active,3
86,98.06,7001,8.2,Active,2
81,99.0,5391,6.7,Active,4
81,95.95,2136,7.7,Active,2
77,96.91,2820,5.2,Highly Active,6
83,97.03,20077,7.6,Sedentary,10
74,96.75,2818,5.5,Sedentary,5
88,97.67,13827,6.5,Highly Active,3
56,100.0,516,8.3,Sedentary,3
74,97.31,9683,3.9,Highly Active,7
96,98.09,3984,5.3,Active,9
94,98.41,5897,5.5,Sedentary,1
59,95.9,1236,7.5,Sedentary,9
47,95.78,8609,4.9,Sedentary,10
69,100.0,6459,4.5,Highly Active,1
80,96.93,1026,7.6,Highly Active,1
87,99.73,30988,3.4,Sedentary,6
76,96.88,19441,8.1,Sedentary,7
81,100.0,1776,4.6,Active,9
64,97.05,14563,5.8,Sedentary,10
74,97.89,2176,4.7,Highly Active,6
66,97.52,5807,5.1,Highly Active,5
79,97.41,10664,6.2,Active,2
74,96.55,5670,4.2,Highly Active,1
54,98.7,4189,5.9,Highly Active,4
77,99.09,9996,6.7,Highly Active,5
85,95.73,4560,7.2,Highly Active,6
61,96.69,5858,3.4,Active,1
93,97.84,13076,5.8,Highly Active,9
66,98.16,8396,3.4,Highly Active,9
63,98.77,5248,5.7,Active,4
48,100.0,4330,5.9,Sedentary,1
79,98.67,949,7.4,Sedentary,8
102,95.99,406,8.0,Highly Active,8
80,99.39,21370,5.0,Sedentary,7
63,99.96,1445,6.9,Highly Active,10
82,94.84,2269,7.5,Active,3
87,98.94,6608,5.4,Sedentary,2
92,100.0,12319,7.7,Highly Active,7
56,96.7,12534,6.7,Sedentary,10
98,99.39,12389,6.1,Active,7
78,96.6,26745,6.7,Highly Active,5
101,97.41,401,4.1,Active,9
77,96.24,3574,6.7,Active,7
83,99.25,17140,5.2,Sedentary,8
60,99.53,4409,6.5,Active,6
89,98.84,14352,5.9,Sedentary,1
58,99.19,125,6.9,Highly Active,9
79,99.45,4913,8.3,Sedentary,7
68,100.0,17898,6.7,Highly Active,10
73,96.85,2120,8.0,Sedentary,8
91,92.94,18581,5.0,Active,2
69,97.18,60,8.7,Sedentary,7
91,97.2,576,5.0,Highly Active,10
68,99.64,4535,4.6,Sedentary,3
107,98.54,1790,5.8,Highly Active,4
76,100.0,2472,4.1,Sedentary,10
73,98.03,4598,4.8,Active,9
70,96.58,17871,4.5,Highly Active,5
105,97.82,9650,8.7,Active,10
68,96.87,7537,7.6,Highly Active,3
52,98.12,1600,7.0,Highly Active,6
72,99.68,6446,9.7,Highly Active,5
80,97.78,1113,3.8,Highly Active,6
71,97.67,4220,6.4,Active,4
81,98.41,12618,5.3,Active,8
87,98.39,2705,7.7,Highly Active,5
72,95.56,294,5.7,Sedentary,9
113,97.71,337,8.4,Sedentary,10
74,99.16,4663,6.2,Highly Active,6
55,100.0,1995,8.0,Highly Active,3
76,98.83,230,6.1,Highly Active,7
87,98.44,5267,6.7,Highly Active,1
87,100.0,1032,7.4,Sedentary,6
76,97.0,5081,8.8,Active,2
67,100.0,1822,6.6,Sedentary,6
97,99.81,1552,6.9,Sedentary,1
76,97.44,140,4.5,Highly Active,4
40,96.73,6165,5.5,Active,1
80,95.94,1566,6.7,Highly Active,8
45,97.36,14739,7.8,Highly Active,3
81,99.85,6480,8.6,Highly Active,2
113,93.65,5690,4.9,Active,8
95,100.0,4918,5.3,Sedentary,6
94,98.12,23888,8.6,Sedentary,5
84,96.99,2713,6.3,Sedentary,1
70,96.19,10480,6.6,Highly Active,8
66,98.58,889,6.7,Highly Active,5
61,99.08,10616,5.8,Active,6
80,99.54,2361,4.7,Sedentary,2
68,94.43,2389,8.1,Sedentary,6
77,97.11,4954,6.7,Sedentary,6
88,99.24,3487,5.7,Sedentary,9
68,99.94,878,11.0,Active,7
84,98.5,6294,6.5,Active,8
93,100.0,1684,3.9,Active,3
80,98.39,4115,7.5,Active,4
85,99.06,1839,3.7,Highly Active,10
81,96.33,13643,7.2,Highly Active,8
75,99.45,2888,7.2,Highly Active,10
87,95.39,15293,8.6,Active,10
99,95.95,2763,5.0,Active,3
87,96.46,1385,6.1,Sedentary,8
72,97.29,5670,7.8,Sedentary,8
73,98.9,6753,7.2,Highly Active,2
89,99.12,2518,7.3,Highly Active,1
67,99.06,2699,8.3,Active,3
59,95.98,1897,6.2,Active,8
82,98.74,18457,8.7,Sedentary,6
75,96.06,8041,6.4,Sedentary,4
97,94.71,9881,7.8,Sedentary,2
78,97.5,7584,7.4,Highly Active,5
68,97.61,10068,8.2,Sedentary,5
87,100.0,2935,4.9,Highly Active,1
70,99.68,1201,7.9,Sedentary,7
89,98.72,6612,9.6,Active,7
94,99.18,6000,6.1,Highly Active,9
73,95.53,1411,6.9,Sedentary,5
73,96.66,2131,6.3,Sedentary,5
94,97.52,6864,7.5,Active,1
92,98.23,6656,3.2,Active,10
90,100.0,5663,4.4,Sedentary,7
65,100.0,11799,6.5,Active,10
99,99.14,2266,3.5,Highly Active,10
84,94.98,1201,5.5,Active,2
73,100.0,2312,5.8,Active,8
76,97.81,20662,7.9,Active,3
73,96.73,1033,8.4,Highly Active,3
70,97.07,14770,3.1,Highly Active,2
93,99.18,1592,6.3,Highly Active,7
200,95.44,2999,6.7,Highly Active,9
108,100.0,942,4.3,Active,4
94,100.0,764,8.4,Sedentary,4
77,99.61,700,7.1,Highly Active,6
96,95.91,2938,7.8,Active,4
80,100.0,5192,5.8,Sedentary,7
111,100.0,1569,5.3,Sedentary,6
70,100.0,18887,5.6,Sedentary,9
81,98.91,6180,6.3,Highly Active,5
65,98.33,15144,5.9,Highly Active,4
69,98.85,1128,7.9,Highly Active,3
69,99.28,1084,10.5,Active,10
93,100.0,13130,7.4,Sedentary,8
78,95.6,5875,3.6,Sedentary,8
76,99.35,1112,4.7,Sedentary,3
60,100.0,185,5.9,Highly Active,10
92,98.51,8401,6.1,Active,1
54,98.1,11522,4.9,Highly Active,9
50,97.21,21,3.5,Sedentary,4
69,99.64,4616,7.1,Highly Active,2
49,99.13,32243,5.1,Highly Active,3
50,95.44,16667,6.9,Highly Active,7
71,96.0,523,4.5,Sedentary,1
79,97.98,1456,6.8,Active,4
61,100.0,2610,8.6,Active,7
80,97.78,12420,5.6,Active,9
76,96.29,12189,5.6,Sedentary,4
83,96.92,1432,7.1,Sedentary,7
104,100.0,4877,4.4,Highly Active,2
57,97.04,3744,8.2,Highly Active,2
65,98.71,5374,7.7,Sedentary,7
82,97.24,2425,8.4,Sedentary,4
76,99.58,5308,7.3,Active,6
70,99.87,452,3.7,Highly Active,2
56,93.03,23944,8.8,Active,9
52,99.56,1265,5.9,Sedentary,10
101,97.77,3127,5.7,Sedentary,4
72,98.03,293,7.3,Active,8
102,95.67,5564,7.7,Active,4
67,98.43,14280,5.8,Active,8
75,99.63,16190,6.9,Sedentary,1
59,98.53,2764,10.6,Active,8
55,95.12,5728,5.5,Active,6
103,98.45,10498,5.9,Highly Active,10
103,99.04,2040,8.6,Active,3
90,97.19,5262,4.1,Highly Active,3
86,97.03,3326,2.9,Sedentary,8
79,97.8,3657,4.7,Highly Active,2
40,95.42,2509,4.6,Active,8
91,99.55,2806,6.8,Active,10
55,98.99,17415,9.6,Sedentary,5
69,96.86,6979,5.0,Sedentary,2
90,97.04,25673,7.6,Sedentary,5
76,96.72,6252,8.3,Sedentary,4
56,97.08,12577,7.6,Highly Active,1
90,98.39,3788,5.4,Highly Active,2
102,96.0,5864,3.5,Sedentary,6
68,98.65,1507,6.0,Highly Active,2
80,94.86,6741,5.3,Sedentary,4
45,98.61,5055,6.1,Active,9
65,97.85,11419,7.9,Active,10
83,98.64,16298,8.7,Highly Active,6
72,98.65,997,6.7,Highly Active,8
81,95.95,8219,4.7,Sedentary,2
83,95.74,17497,5.3,Highly Active,6
79,97.18,12588,6.7,Highly Active,1
77,99.88,347,5.8,Active,8
61,97.89,1124,5.2,Highly Active,8
95,96.38,18315,9.8,Highly Active,5
63,99.85,5312,7.0,Highly Active,7
75,97.06,27177,4.1,Highly Active,2
54,98.43,1516,8.1,Sedentary,6
67,97.56,7182,6.6,Highly Active,6
83,96.05,6580,6.8,Sedentary,6
78,98.71,2913,5.2,Sedentary,9
76,98.97,4650,8.1,Highly Active,10
61,96.03,1879,7.5,Sedentary,5
58,99.73,7913,5.7,Active,7
89,100.0,3792,6.5,Sedentary,7
100,96.22,167,5.2,Highly Active,3
83,100.0,21081,5.0,Active,2
72,98.01,4872,5.6,Sedentary,7
93,97.86,8561,6.1,Active,5
90,99.68,953,6.4,Sedentary,2
66,96.75,16290,5.2,Active,8
66,96.98,6257,7.6,Active,4
73,98.63,5155,7.9,Sedentary,10
88,97.92,1886,7.6,Active,2
55,96.59,17068,2.7,Highly Active,3
65,96.91,1688,5.0,Highly Active,10
78,97.95,1204,4.3,Active,6
83,94.83,18619,3.8,Highly Active,8
49,99.0,2085,8.2,Sedentary,6
63,98.52,13888,9.0,Sedentary,9
64,98.97,3368,7.2,Sedentary,8
68,94.57,2051,6.0,Active,7
82,98.74,9960,8.3,Active,9
40,99.8,6372,6.9,Sedentary,5
84,98.79,2052,5.7,Active,3
67,99.21,15507,7.3,Active,3
89,98.79,16800,6.8,Sedentary,4
95,97.89,4027,7.5,Sedentary,10
65,97.36,960,12.1,Active,3
69,99.21,6439,6.7,Active,6
64,100.0,6521,5.1,Active,9
53,99.98,6144,3.1,Sedentary,10
74,95.66,4476,8.4,Active,1
76,94.32,6646,5.6,Sedentary,4
100,94.89,8876,6.4,Sedentary,4
73,94.39,17384,6.8,Active,8
63,93.48,524,7.4,Highly Active,9
76,100.0,10494,4.5,Active,6
66,99.39,1668,6.8,Sedentary,7
50,98.11,1430,5.7,Sedentary,2
84,98.29,3203,7.7,Sedentary,1
96,97.67,9175,6.4,Active,9
67,97.19,13699,5.8,Active,10
67,95.56,3935,7.5,Highly Active,7
77,97.74,7088,5.9,Sedentary,2
62,95.65,21546,9.0,Highly Active,8
64,99.76,22326,6.8,Active,4
84,98.98,516,5.5,Active,4
59,100.0,13,7.0,Sedentary,6
83,96.43,22529,8.0,Sedentary,1
87,95.25,5365,4.1,Highly Active,9
85,94.95,8437,8.4,Sedentary,1
78,100.0,17061,7.0,Active,3
47,97.21,3974,6.5,Highly Active,6
56,95.0,4067,5.5,Active,9
54,98.94,1279,7.0,Active,9
69,97.33,16538,5.2,Active,5
57,100.0,1391,5.4,Sedentary,2
72,97.72,5744,6.1,Active,5
85,99.13,2784,7.4,Highly Active,8
60,98.87,1114,6.2,Sedentary,8
62,100.0,1405,4.8,Active,5
92,97.6,5735,5.5,Highly Active,8
61,96.0,5817,6.5,Active,5
93,99.98,1995,7.7,Active,2
57,98.5,17325,4.5,Highly Active,8
58,97.06,5118,6.6,Sedentary,3
71,98.69,1599,7.7,Highly Active,9
65,100.0,17980,9.2,Sedentary,3
104,98.74,4553,5.8,Highly Active,1
83,100.0,14540,8.0,Active,1
54,99.24,17170,5.5,Highly Active,1
74,97.64,3942,6.5,Highly Active,8
81,95.7,19256,8.5,Highly Active,3
102,96.14,14074,5.7,Active,3
76,96.37,7551,6.8,Sedentary,10
71,98.59,7821,4.2,Active,9
60,95.79,1663,7.0,Sedentary,5
80,99.42,6464,5.9,Highly Active,5
90,99.93,5582,7.3,Sedentary,6
48,97.76,2847,5.2,Active,10
76,97.59,4931,7.0,Sedentary,8
59,98.31,18530,6.0,Active,7
54,97.01,37,2.5,Highly Active,2
88,93.82,2841,8.4,Active,8
65,97.23,22751,4.9,Highly Active,7
72,94.87,25519,5.5,Highly Active,4
70,99.15,6167,8.5,Active,1
58,98.43,5590,7.3,Sedentary,8
66,99.51,16347,6.0,Sedentary,1
86,98.32,46,6.9,Highly Active,1
66,98.78,5783,5.6,Active,2
81,96.25,175,10.2,Active,4
57,96.44,2701,9.1,Highly Active,1
92,99.22,5149,6.6,Highly Active,4
43,96.1,3784,4.6,Highly Active,6
101,96.97,15685,7.3,Highly Active,2
89,97.83,60278,8.4,Active,6
68,98.06,9218,4.0,Active,9
77,97.39,3640,5.6,Active,5
60,98.81,44035,7.4,Highly Active,4
76,99.11,3097,8.5,Highly Active,10
78,92.11,2274,6.8,Sedentary,4
70,94.57,13103,4.8,Highly Active,9
72,99.02,2897,5.2,Sedentary,9
48,98.3,2483,6.1,Active,3
59,95.77,7295,6.6,Sedentary,3
85,100.0,1607,5.5,Sedentary,10
64,99.13,4627,7.5,Active,4
95,99.87,2544,8.0,Active,7
77,98.29,2472,8.6,Highly Active,1
40,99.81,2322,4.7,Highly Active,5
84,96.95,16014,4.8,Active,10
75,99.95,28541,9.1,Active,3
94,98.35,592,8.9,Sedentary,10
58,99.18,3548,8.5,Active,9
69,98.36,2515,5.6,Sedentary,6
79,96.23,3037,9.0,Active,8
93,97.66,2159,6.2,Sedentary,2
78,100.0,3376,7.0,Sedentary,8
94,100.0,2298,8.4,Highly Active,4
70,99.88,9643,7.3,Sedentary,4
77,96.86,2952,8.6,Highly Active,8
86,94.88,1631,6.5,Active,2
98,99.69,804,6.2,Highly Active,9
80,97.66,2994,6.0,Sedentary,1
113,99.38,7218,4.8,Highly Active,4
73,100.0,2045,2.3,Highly Active,4
65,96.48,21314,6.1,Highly Active,8
79,97.96,5314,7.4,Active,10
81,98.71,5697,7.9,Active,4
67,98.8,29199,8.1,Active,4
78,98.79,2049,5.1,Sedentary,7
64,94.62,19922,8.8,Sedentary,4
83,100.0,1130,7.8,Active,9
66,98.26,824,5.2,Active,5
58,99.3,2025,4.6,Sedentary,1
57,99.27,4114,7.4,Highly Active,6
67,95.71,9156,6.2,Highly Active,2
62,97.9,5358,2.8,Active,4
74,96.8,97,5.7,Highly Active,6
82,99.05,468,6.7,Sedentary,9
80,96.26,18237,4.2,Highly Active,7
70,99.11,11081,6.7,Active,5
93,96.15,28877,8.8,Active,1
61,100.0,15146,6.8,Highly Active,10
90,96.7,4515,7.4,Sedentary,3
77,100.0,14995,8.8,Active,7
91,97.62,5205,6.3,Sedentary,7
83,96.1,3241,7.0,Sedentary,6
58,99.04,7997,5.2,Active,10
80,100.0,6243,5.5,Sedentary,9
80,99.24,6667,3.4,Highly Active,9
90,96.84,3574,9.9,Sedentary,6
83,100.0,9411,7.7,Active,9
84,98.58,594,5.1,Active,8
71,100.0,9185,5.3,Active,7
71,99.31,5079,6.6,Sedentary,2
51,98.82,2139,6.6,Active,5
94,97.03,5127,5.8,Highly Active,7
58,97.93,919,5.3,Sedentary,6
79,96.37,2350,8.3,Active,6
70,98.37,3829,6.6,Sedentary,2
85,94.14,1451,4.9,Active,10
63,95.42,1205,5.8,Active,3
81,96.18,6552,6.4,Active,2
81,94.99,7966,8.2,Active,1
63,96.35,612,5.3,Active,5
88,100.0,236,7.4,Sedentary,1
95,100.0,1114,7.0,Sedentary,4
105,96.76,16190,8.6,Active,8
71,99.11,7817,7.2,Sedentary,9
77,95.7,17770,3.8,Sedentary,6
78,100.0,7649,5.0,Active,3
84,97.61,23514,5.1,Sedentary,4
101,93.95,4045,5.8,Active,9
82,100.0,6398,8.5,Highly Active,9
82,97.4,6435,6.1,Active,2
58,100.0,22,6.6,Active,1
105,99.84,195,6.2,Highly Active,7
67,98.59,1099,7.3,Highly Active,5
40,94.33,5010,5.4,Sedentary,9
40,98.22,3941,6.2,Sedentary,6
79,94.88,5432,6.2,Sedentary,8
55,97.34,11283,6.4,Sedentary,7
75,98.32,12091,5.7,Active,1
79,96.79,5708,7.9,Highly Active,3
83,100.0,2986,6.3,Highly Active,8
77,94.93,2577,8.2,Active,10
64,96.37,2916,7.2,Active,6
69,93.35,3494,8.2,Sedentary,5
72,95.64,545,10.4,Sedentary,2
70,99.86,5876,7.8,Highly Active,1
103,96.05,4339,6.9,Active,5
74,96.94,592,8.4,Active,4
55,99.01,685,5.4,Active,5
70,97.64,261,8.4,Sedentary,2
63,97.53,9032,7.9,Sedentary,7
89,100.0,35558,6.4,Highly Active,10
53,99.07,6369,7.2,Active,8
73,98.04,8997,6.0,Highly Active,7
65,98.44,7706,8.7,Highly Active,1
81,96.14,7384,5.8,Active,10
74,99.44,12165,5.8,Highly Active,4
74,99.72,8698,5.9,Sedentary,8
47,98.4,5694,5.4,Sedentary,1
93,100.0,4639,3.9,Sedentary,7
46,98.42,4297,4.2,Highly Active,9
92,97.59,3483,6.2,Sedentary,6
99,98.19,7784,6.8,Sedentary,2
92,96.75,16186,8.4,Active,4
87,99.2,18663,5.8,Sedentary,9
70,97.16,6082,5.0,Active,10
69,100.0,692,6.4,Highly Active,2
87,98.46,14764,7.3,Active,6
81,94.84,9641,5.7,Sedentary,3
74,97.26,11391,7.2,Highly Active,8
54,98.01,15299,4.0,Active,9
84,98.83,1992,4.4,Active,6
72,100.0,11298,5.9,Highly Active,9
71,97.58,8711,4.5,Highly Active,3
47,99.47,102,8.9,Active,2
76,100.0,5800,6.8,Sedentary,1
54,98.62,8800,6.0,Active,9
68,94.78,1191,8.8,Active,7
86,99.56,5313,6.9,Sedentary,2
75,94.02,2538,6.2,Highly Active,2
73,100.0,8341,5.3,Highly Active,2
64,95.39,5438,7.3,Sedentary,1
66,100.0,6800,7.3,Sedentary,4
98,98.17,527,7.5,Sedentary,5
86,99.75,1038,7.7,Sedentary,10
68,99.02,5622,8.7,Sedentary,6
73,99.94,1399,5.3,Highly Active,2
78,94.06,4834,9.9,Active,6
81,96.71,8199,9.2,Highly Active,3
74,98.81,11617,9.1,Sedentary,1
48,98.1,1080,6.2,Active,8
74,97.2,9480,5.4,Sedentary,10
105,97.56,7953,6.9,Active,5
115,100.0,1099,7.8,Sedentary,7
84,100.0,5068,6.3,Active,1
85,100.0,788,6.0,Active,5
49,98.98,12309,6.6,Sedentary,7
67,96.13,4220,7.6,Active,6
50,97.44,12132,6.7,Highly Active,1
56,98.3,1218,5.1,Sedentary,9
70,95.35,7858,8.1,Sedentary,2
74,98.71,1876,7.2,Sedentary,7
74,95.76,1020,8.6,Highly Active,6
67,100.0,6924,8.2,Highly Active,6
80,99.56,800,6.1,Highly Active,3
56,97.62,4381,8.0,Highly Active,6
101,98.13,7073,7.0,Sedentary,5
59,100.0,4847,6.3,Active,7
75,95.01,8360,10.5,Active,1
84,97.04,11316,10.0,Active,1
85,99.07,14404,7.5,Active,9
86,93.89,5745,5.2,Active,4
51,97.72,2267,5.8,Sedentary,1
61,97.11,4989,5.7,Sedentary,9
77,100.0,3434,7.7,Active,3
82,97.73,1793,7.1,Active,7
93,95.94,5271,6.0,Active,7
67,96.23,160,9.6,Sedentary,6
61,92.61,6512,5.9,Highly Active,4
66,100.0,12066,9.3,Sedentary,7
108,98.22,52360,8.3,Sedentary,10
72,99.88,659,5.3,Sedentary,1
94,99.1,1241,8.9,Active,8
66,98.03,1045,9.5,Active,1
89,96.0,5721,6.9,Active,10
54,96.92,329,8.4,Sedentary,9
80,98.25,19352,6.6,Active,4
90,99.34,447,8.8,Active,7
70,95.34,3474,5.1,Sedentary,8
84,97.83,15708,8.0,Active,7
66,100.0,20747,2.7,Sedentary,7
79,95.52,4382,4.7,Highly Active,6
67,99.49,4692,4.9,Active,8
87,95.4,7078,6.5,Highly Active,10
56,96.94,3665,5.2,Highly Active,6
59,94.04,2748,5.2,Active,9
94,98.6,9414,6.2,Highly Active,1
40,96.46,6333,6.3,Active,10
65,94.01,4600,4.8,Highly Active,5
72,98.28,744,4.5,Sedentary,9
80,100.0,499,5.2,Sedentary,5
67,98.82,5005,8.0,Highly Active,7
93,99.57,7501,8.7,Active,4
69,98.22,11858,7.1,Active,3
48,100.0,1062,6.5,Sedentary,9
79,98.29,11074,6.3,Sedentary,5
77,96.33,7896,6.7,Sedentary,5
64,98.7,12323,6.9,Sedentary,5
45,97.24,12976,3.9,Active,1
70,97.93,2968,5.6,Active,8
86,99.49,2139,6.4,Active,7
88,96.92,5631,10.1,Active,2
74,92.29,2483,7.5,Active,5
65,97.65,3012,8.2,Sedentary,2
86,98.99,502,6.3,Active,3
57,100.0,33262,8.7,Sedentary,10
73,97.33,10601,7.7,Active,6
98,98.96,34893,6.8,Active,4
98,97.51,24345,7.3,Sedentary,6
55,99.77,7034,5.8,Highly Active,4
68,97.68,5415,9.2,Active,1
111,99.51,2590,5.8,Highly Active,2
64,100.0,13839,5.1,Sedentary,5
99,100.0,2887,6.7,Sedentary,3
89,95.02,790,9.3,Highly Active,4
92,94.41,2438,5.5,Sedentary,9
68,96.13,2649,6.2,Active,4
68,97.89,8873,6.9,Sedentary,9
86,100.0,2667,4.4,Active,1
50,96.42,558,8.2,Highly Active,7
72,95.77,13206,6.6,Highly Active,8
99,100.0,9031,4.9,Highly Active,10
83,99.09,4027,6.0,Highly Active,6
90,98.59,3935,5.7,Highly Active,7
50,95.77,1274,6.5,Active,1
92,97.54,16613,3.3,Sedentary,7
59,98.68,10138,6.6,Sedentary,9
84,100.0,338,5.5,Active,8
66,98.89,2615,7.8,Sedentary,1
113,96.63,13138,4.9,Sedentary,7
83,97.99,4121,6.0,Active,8
61,99.36,8491,4.7,Sedentary,6
99,97.19,8051,8.3,Active,4
74,97.01,11966,7.1,Sedentary,6
63,99.52,11452,6.2,Highly Active,3
75,96.23,4045,4.6,Sedentary,8
65,96.74,16414,5.8,Sedentary,6
71,98.05,5989,6.8,Sedentary,1
88,100.0,1681,5.8,Sedentary,5
57,98.33,1652,4.8,Highly Active,9
78,94.93,7896,6.9,Active,2
77,100.0,3571,6.6,Active,3
81,99.57,2092,6.0,Highly Active,4
